Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51464844	-0.00128448	-15.456205	8.94E-05	0.003457665	0
1.0146484	-0.001332164	-16.609377	6.74E-05	0.003439486	0
1.5146484	-0.000616908	-15.140499	7.65E-05	0.003471971	0
2.0146484	0.000536442	-16.064562	0.000125859	0.003533661	0
2.5146484	-0.001645088	-16.884499	0.000119936	0.003461242	0
3.0146484	-0.001087785	-15.063463	6.48E-05	0.003463328	0
3.5146484	-0.00269711	-15.981194	4.87E-05	0.00349611	0
4.0146484	-0.004801154	-16.171011	4.73E-05	0.003507733	0
4.5146484	-0.010052323	-15.809055	8.61E-05	0.003611445	0
5.0146484	-0.013503432	-15.672265	8.86E-05	0.003569424	0
5.5146484	-0.017169118	-16.536417	0.000100005	0.00353694	0
6.0146484	-0.019559264	-15.504812	7.53E-05	0.003537238	0
6.5146484	-0.021851063	-15.441303	7.00E-05	0.003606975	0
7.0146484	-0.022107363	-13.581245	0.00011269	0.003583729	0
7.5146484	-0.023666024	-13.989742	6.04E-05	0.003587008	0
8.0146484	-0.026103854	-13.841802	7.20E-05	0.003618896	0
8.5146484	-0.027695298	-15.185025	0.000127126	0.003603995	0
9.0146484	-0.028300285	-15.103277	9.51E-05	0.003547072	0
9.5146484	-0.029790401	-14.981708	2.20E-05	0.003590882	0
10.014648	-0.03220439	-17.349379	2.58E-05	0.003705025	1
10.514648	-0.034078956	-15.269225	8.19E-05	0.003693104	1
11.014648	-0.034669042	-17.060366	0.000103898	0.003670156	0
11.514648	-0.034159422	-16.313951	4.09E-05	0.003612936	0
12.014648	-0.037232041	-14.610867	7.65E-05	0.003460348	0
12.514648	-0.035297871	-16.192059	2.76E-05	0.003610253	0
13.014648	-0.038552284	-16.334066	0.000114068	0.003663003	0
13.514648	-0.042772293	-15.593092	7.03E-05	0.003692806	0
14.014648	-0.041988492	-16.108875	8.15E-05	0.003625453	0
14.514648	-0.04401803	-17.318127	0.000125393	0.003619492	0
15.014648	-0.045382977	-15.926514	2.30E-05	0.003680885	0
15.514648	-0.047796965	-16.510975	7.85E-05	0.003744066	0
16.014648	-0.048276782	-15.117322	1.68E-05	0.003755689	0
16.514648	-0.048440695	-17.372734	8.06E-05	0.003728867	0
17.014648	-0.05197823	-15.19908	8.46E-05	0.003638268	0
17.514648	-0.054582953	-16.432959	0.000128616	0.003760457	0
18.014648	-0.054818392	-14.431901	4.04E-05	0.003753007	0
18.514648	-0.058078766	-13.76334	3.53E-05	0.003728569	0
19.014648	-0.056827068	-15.97649	0.000106115	0.003766716	0
19.514648	-0.059580803	-16.985409	6.18E-05	0.003747344	0
20.014648	-0.061067939	-16.866108	2.51E-05	0.003770292	0
20.514648	-0.062358379	-15.531122	0.000124369	0.003760457	0
21.014648	-0.06339252	-17.980164	5.54E-05	0.003674924	1
21.514648	-0.064435601	-17.173807	3.87E-05	0.003742874	0
22.014648	-0.066128373	-13.068077	0.000107735	0.00379324	0
22.514648	-0.068324804	-14.782601	9.50E-05	0.003877878	0
23.014648	-0.069516897	-15.469789	8.92E-05	0.003951788	0
23.514648	-0.070756674	-15.7979	5.30E-05	0.0038293	0
24.014648	-0.073006749	-14.083165	9.19E-05	0.003933013	0
24.514648	-0.075083971	-16.15823	7.68E-05	0.003927052	0
25.014648	-0.075125694	-16.121883	7.62E-05	0.003931224	0
25.514648	-0.077465177	-15.537002	9.22E-05	0.003908873	0
26.014648	-0.07776618	-16.04542	7.34E-05	0.003911555	0
26.514648	-0.081223249	-13.090781	5.49E-05	0.003888905	0
27.014648	-0.081202388	-15.653833	4.92E-05	0.003924668	0
27.514648	-0.083944201	-14.47832	0.000109877	0.003951788	0
28.014648	-0.085556507	-15.550526	0.000116639	0.003911853	0
28.514648	-0.084865093	-16.533073	7.07E-05	0.003941059	0
29.014648	-0.087228417	-13.420882	8.11E-05	0.003927052	0
29.514648	-0.089985132	-16.617346	0.00011798	0.003939569	0
30.014648	-0.090315938	-14.013711	0.00010794	0.003861487	0
30.514648	-0.091743469	-14.483233	8.87E-05	0.003912449	0
31.014648	-0.09329319	-18.205389	0.000110269	0.003853142	0
31.514648	-0.096926093	-16.551758	6.88E-05	0.003825724	1
32.014648	-0.09611547	-15.120265	7.23E-05	0.003852248	0
32.514648	-0.097689033	-15.86046	5.68E-05	0.003819466	0
33.014648	-0.098440051	-16.545527	0.000117905	0.003734529	0
33.514648	-0.10073185	-16.37546	5.16E-05	0.003829002	0
34.014648	-0.10143816	-16.324028	0.000110809	0.003779829	0
34.514648	-0.10424852	-14.843791	6.01E-05	0.003857613	0
35.014648	-0.10763407	-15.083888	6.76E-05	0.003841519	0
35.514648	-0.10677576	-15.844988	8.11E-05	0.003889799	0
36.014648	-0.10866225	-15.809274	4.03E-05	0.003888011	0
36.514648	-0.11111796	-16.823273	8.34E-05	0.003814399	0
37.014648	-0.1116991	-17.052256	-2.40E-05	0.003722608	0
37.514648	-0.11285245	-15.005885	0.000101421	0.00382334	0
38.014648	-0.11625886	-15.390856	0.00010116	0.003753007	0
38.514648	-0.11544824	-16.159149	8.73E-05	0.003552437	0
39.014648	-0.11869371	-18.323141	5.18E-05	0.003264248	0
39.514648	-0.11835098	-14.724945	8.64E-05	0.003229082	0
40.014648	-0.12070537	-14.435352	6.45E-05	0.003147125	0
40.514648	-0.12242198	-15.473325	0.000128243	0.003216863	0
41.014648	-0.1242727	-14.508298	0.000103544	0.003097653	0
41.514648	-0.12489855	-15.26962	2.41E-05	0.003113151	0
42.014648	-0.12783408	-14.671357	7.81E-05	0.003056824	1
42.514648	-0.12916923	-18.320076	8.07E-05	0.003040433	0
43.014648	-0.12963712	-16.862738	2.59E-05	0.002965629	0
43.514648	-0.13067126	-18.258511	5.64E-05	0.002948642	0
44.014648	-0.13184249	-18.78075	7.96E-05	0.003049672	0
44.514648	-0.13507307	-17.86828	5.88E-05	0.002992153	0
45.014648	-0.13458431	-18.406555	7.80E-05	0.003149211	0
45.514648	-0.13867021	-17.438435	9.52E-05	0.0030002	0
46.014648	-0.13815463	-17.625408	5.81E-05	0.002956688	0
46.514648	-0.1387924	-19.105034	8.06E-05	0.002961755	0
47.014648	-0.14016628	-20.672222	2.54E-05	0.002962351	0
47.514648	-0.14366806	-17.648323	8.83E-05	0.003041327	0
48.014648	-0.14563799	-17.839617	7.51E-05	0.00297904	0
48.514648	-0.14624	-19.907976	8.72E-05	0.002999902	0
49.014648	-0.14763176	-19.050184	5.79E-05	0.002980828	0
49.514648	-0.14834702	-19.692055	0.000116061	0.00304997	0
50.014648	-0.15172362	-16.470083	0.000147577	0.003116429	0
50.514648	-0.15263855	-16.595888	9.77E-05	0.003069341	0
51.014648	-0.15488863	-19.502815	6.69E-05	0.003053844	0
51.514648	-0.1558423	-18.455824	0.000104979	0.002974868	0
52.014648	-0.15665591	-19.00732	6.80E-05	0.002964437	0
52.514648	-0.15785396	-19.674126	0.000126585	0.002934337	1
53.014648	-0.15925467	-20.914993	7.56E-05	0.002906919	1
53.514648	-0.16151369	-19.376741	8.53E-05	0.002975464	0
54.014648	-0.16153157	-21.21484	6.12E-05	0.002980828	0
54.514648	-0.16454458	-19.430069	4.15E-05	0.00295192	0
55.014648	-0.16524494	-17.625589	6.28E-05	0.002879202	0
55.514648	-0.16667545	-18.699131	7.38E-05	0.003042221	0
56.014648	-0.16776621	-18.991734	8.27E-06	0.002978444	0
56.514648	-0.17019808	-19.493973	6.33E-05	0.002895296	0
57.014648	-0.17286539	-20.917274	7.57E-05	0.002975166	0
57.514648	-0.17208159	-18.342621	5.04E-05	0.003006756	0
58.014648	-0.17463565	-20.753805	9.22E-05	0.002929568	0
58.514648	-0.17709434	-18.557131	5.55E-05	0.003055632	0
59.014648	-0.17776191	-19.87459	0.000129323	0.003114641	0
59.514648	-0.17941296	-20.347113	6.45E-05	0.002922416	0
60.014648	-0.18001497	-18.79451	0.00010835	0.002954006	0
60.514648	-0.18250048	-19.304422	0.000111014	0.00290513	0
61.014648	-0.18509328	-19.174212	6.05E-06	0.002985001	0
61.514648	-0.18488169	-18.44503	4.11E-05	0.002848208	0
62.014648	-0.18740296	-17.325859	8.37E-05	0.002769232	0
62.514648	-0.18799007	-19.287037	0.000101328	0.002808273	0
63.014648	-0.19085705	-18.041759	4.83E-05	0.002960861	0
63.514648	-0.19035041	-15.996929	3.07E-05	0.002834201	1
64.014648	-0.19278228	-18.857239	8.66E-05	0.00289619	0
64.514648	-0.19388199	-19.958544	8.78E-05	0.002773106	0
65.014648	-0.19463897	-20.065638	9.17E-05	0.002833903	0
65.514648	-0.19682646	-19.499296	9.81E-05	0.002851188	0
66.014648	-0.19894838	-20.241257	5.20E-05	0.002839863	0
66.514648	-0.19927919	-20.654398	0.000180155	0.00282675	0
67.014648	-0.20030737	-19.178329	3.66E-05	0.002806485	0
67.514648	-0.20292997	-19.273008	7.35E-05	0.00274092	0
68.014648	-0.2037555	-18.017908	8.43E-05	0.002852976	0
68.514648	-0.20699501	-19.353127	8.52E-05	0.00286907	0
69.014648	-0.20700097	-20.431786	9.59E-05	0.002820194	0
69.514648	-0.20872355	-18.595551	0.000151489	0.002959967	0
70.014648	-0.21183491	-21.094059	8.75E-05	0.002910197	0
70.514648	-0.2128154	-21.347752	9.38E-05	0.0028193	0
71.014648	-0.21387637	-20.30448	4.34E-05	0.002902448	0
71.514648	-0.21392405	-20.513676	5.76E-05	0.002768934	0
72.014648	-0.21642447	-19.402641	0.000120886	0.002856851	0
72.514648	-0.21896958	-21.192888	7.02E-05	0.00287503	0
73.014648	-0.21895468	-22.53767	5.15E-05	0.002751648	0
73.514648	-0.22238195	-21.252396	2.38E-05	0.002778769	0
74.014648	-0.22158921	-19.783905	0.000105836	0.002703071	1
74.514648	-0.22388399	-21.779606	8.61E-05	0.002803803	0
75.014648	-0.22496879	-23.269209	9.89E-05	0.002820194	0
75.514648	-0.22735894	-20.278851	0.000119172	0.002802312	0
76.014648	-0.22880733	-21.888823	8.23E-05	0.002886355	0
76.514648	-0.23021698	-21.798771	6.68E-05	0.002714396	0
77.014648	-0.23131371	-21.611139	9.89E-05	0.002765656	0
77.514648	-0.23215711	-20.472647	5.20E-05	0.00274837	0
78.014648	-0.23485124	-21.178324	8.94E-05	0.002681911	0
78.514648	-0.23792982	-20.413883	5.99E-05	0.002770722	0
79.014648	-0.23676157	-20.171616	0.000113472	0.002764165	0
