Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon		Axial Force	Axial Force
Sec	mm	N	mm	mm	unitless		N	N
0.51367188	-0.001400709	0.096961617	-0.000770092	0.007712245	0		0.096961617	-0.096961617
1.0136719	0.000351667	1.2610801	-0.000794902	0.00759542	0		1.2610801	-1.2610801
1.5136719	0.000354648	2.6866324	-0.000766888	0.007688105	0		2.6866324	-2.6866324
2.0136719	-0.000360608	1.249825	-0.000750571	0.007544458	0		1.249825	-1.249825
2.5136719	-0.000444055	-0.6124084	-0.000803396	0.007879138	0		-0.6124084	0.6124084
3.0136719	-0.004246831	4.0595036	-0.000811294	0.007576644	0		4.0595036	-4.0595036
3.5136719	-0.00782609	-0.5981347	-0.000791028	0.007576346	0		-0.5981347	0.5981347
4.0136719	-0.009539723	-0.33617163	-0.000850782	0.007800162	0		-0.33617163	0.33617163
4.5136719	-0.012522936	-0.15188898	-0.00086017	0.007772744	0		-0.15188898	0.15188898
5.0136719	-0.014704466	-0.9402498	-0.000812411	0.007671714	0		-0.9402498	0.9402498
5.5136719	-0.01488924	3.0779684	-0.00085257	0.007825196	0		3.0779684	-3.0779684
6.0136719	-0.016564131	0.93394655	-0.000767037	0.007860959	0		0.93394655	-0.93394655
6.5136719	-0.019297004	-1.9177135	-0.000759587	0.007622242	0		-1.9177135	1.9177135
7.0136719	-0.020682812	2.1616211	-0.00077337	0.007712245	0		2.1616211	-2.1616211
7.5136719	-0.022751093	-1.8612858	-0.000837594	0.007812381	0		-1.8612858	1.8612858
8.0136719	-0.024279952	0.003094582	-0.000808537	0.007681549	0		0.003094582	-0.003094582
8.5136719	-0.024789572	-1.0825158	-0.000822991	0.007713139	0		-1.0825158	1.0825158
9.0136719	-0.027903914	-0.89942944	-0.000795349	0.007798672	0		-0.89942944	0.89942944
9.5136719	-0.028380752	-0.52415437	-0.000768974	0.007771254	0		-0.52415437	0.52415437
10.013672	-0.030180812	-4.5740027	-0.000804141	0.007943511	1		-4.5740027	4.5740027
10.513672	-0.029692054	-2.413496	-0.000781715	0.007734895	1		-2.413496	2.413496
11.013672	-0.033077598	-0.97854596	-0.000786111	0.00792712	0		-0.97854596	0.97854596
11.513672	-0.033554435	-1.7809641	-0.000772551	0.007614493	0		-1.7809641	1.7809641
12.013672	-0.034952164	-1.6139766	-0.000822917	0.007695556	0		-1.6139766	1.6139766
12.513672	-0.036615133	-1.4936302	-0.000779107	0.007888079	0		-1.4936302	1.4936302
13.013672	-0.03964901	-1.6892966	-0.000809431	0.007675588	0		-1.6892966	1.6892966
13.513672	-0.040557981	-2.2484012	-0.000847578	0.007609427	0		-2.2484012	2.2484012
14.013672	-0.042107701	-1.0963185	-0.000789762	0.007861257	0		-1.0963185	1.0963185
14.513672	-0.043660402	-1.0799272	-0.000790805	0.007893741	0		-1.0799272	1.0799272
15.013672	-0.044223666	-3.2210209	-0.000772849	0.00783354	0		-3.2210209	3.2210209
15.513672	-0.046160817	-0.099260613	-0.000814945	0.007576644	0		-0.099260613	0.099260613
