MTS793|MPT|FRA|1|2|.|.|:|33|1|1|A

Acquisition de données						Temps :	320.97266	Sec	28.05.2013 10:58:57
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51367188	-0.36811829	-1.7453178	-0.39510414	0.0011342764	0
1.0136719	-0.36826134	-3.0198483	-0.39514169	0.0011342764	0
1.5136719	-0.36812425	-0.56625879	-0.39514184	0.0011429191	0
2.0136719	-0.3703475	-1.541795	-0.39519721	0.0011217594	0
2.5136719	-0.36871433	-1.9314842	-0.39520741	0.0011757016	0
3.0136719	-0.36904216	-2.487956	-0.39533401	0.0012245774	0
3.5136719	-0.36782026	-2.6092942	-0.39534307	0.0011998415	0
4.0136719	-0.36937594	-1.0933117	-0.39540604	0.0011524558	0
4.5136719	-0.3687501	-2.4068418	-0.39558911	0.001244247	0
5.0136719	-0.36827326	-1.8072329	-0.3959702	0.0011819601	0
5.5136719	-0.37144423	-3.7604332	-0.39649218	0.0012102723	0
6.0136719	-0.37153363	-3.7314544	-0.39846873	0.0012606382	0
6.5136719	-0.37555099	-0.79495072	-0.40299624	0.0012341142	0
7.0136719	-0.38082004	-1.5307534	-0.40874684	0.0012913346	0
7.5136719	-0.38454533	-0.87768251	-0.41412795	0.0013250113	0
8.0136719	-0.39087534	-2.8272471	-0.41840822	0.0012797117	0
8.5136719	-0.39243698	-2.897352	-0.42225733	0.0012522936	0
9.0136719	-0.39410591	-3.0483446	-0.4253982	0.0012564659	0
9.5136719	-0.3970325	-2.9948373	-0.42828232	0.0013658404	0
10.013672	-0.39935708	-2.821358	-0.43024892	0.001309216	1
10.513672	-0.40092468	-2.6290681	-0.43204194	0.0012296438	1
11.013672	-0.40501356	0.10663438	-0.43348491	0.0013405085	0
11.513672	-0.40504932	-0.46966863	-0.43484473	0.0012892485	0
12.013672	-0.40755868	-2.118367	-0.43597555	0.0012800097	0
12.513672	-0.40615201	-1.3680304	-0.43678045	0.0012692809	0
13.013672	-0.40758252	-1.2507375	-0.43754542	0.0013330579	0
13.513672	-0.40867329	-1.2332524	-0.4384827	0.0013276935	0
14.013672	-0.41151047	-0.56063706	-0.4396911	0.0012052059	0
14.513672	-0.41252971	-2.4272945	-0.44017181	0.0012749434	0
15.013672	-0.41241646	-1.589685	-0.44108832	0.001219213	0
15.513672	-0.41309595	-0.3302106	-0.44207186	0.0011822581	0
16.013672	-0.41584969	-1.879938	-0.44347003	0.0011453032	0
16.513672	-0.41359067	-4.528615	-0.44492573	0.0012210011	0
17.013672	-0.41652918	-3.390559	-0.44655228	0.0011593103	0
17.513672	-0.41938424	-2.8049066	-0.44792667	0.0012731552	0
18.013672	-0.41971207	-1.793708	-0.44960564	0.0012162328	0
18.513672	-0.42309165	-2.5881717	-0.45184708	0.0010427833	0
19.013672	-0.42147636	-1.9052798	-0.45329815	0.0011458993	0
19.513672	-0.42506456	0.49962872	-0.45512491	0.0010868907	0
20.013672	-0.42878985	-3.0382493	-0.45682245	0.001103878	0
20.513672	-0.42959452	-2.8108251	-0.45829818	0.0011128187	0
21.013672	-0.43047667	-2.90552	-0.46001896	0.0010189414	1
21.513672	-0.43230057	-3.0031338	-0.46187216	0.0010800362	0
22.013672	-0.43187737	-3.0847642	-0.46353942	0.0011479855	0
22.513672	-0.43416023	-1.6463585	-0.46516746	0.0011557341	0
23.013672	-0.43690205	-1.7639936	-0.46670175	0.0010713935	0
23.513672	-0.43849945	-3.4856954	-0.46809578	0.0010544062	0
24.013672	-0.43990016	-2.1380839	-0.4694666	0.0011366606	0
24.513672	-0.4414618	-2.3809135	-0.47089383	0.001103878	0
25.013672	-0.442487	-4.6685863	-0.4723452	0.0011074543	0
25.513672	-0.44154525	-1.819544	-0.47388241	0.0012326241	0
26.013672	-0.44315457	-4.0684843	-0.47515267	0.0010693073	0
26.513672	-0.44716597	-3.1008267	-0.47674224	0.00099986792	0
27.013672	-0.44739842	-1.9792951	-0.47821397	0.0010949373	0
27.513672	-0.448668	-3.2811403	-0.47989374	0.001142025	0
28.013672	-0.45152307	-1.6579704	-0.48147321	0.0011637807	0
28.513672	-0.45323968	-0.89364678	-0.48277289	0.0011140108	0
29.013672	-0.45320988	-1.9389515	-0.48415437	0.0010070205	0
29.513672	-0.45585632	-2.854275	-0.4855383	0.0010508299	0
30.013672	-0.45920014	-4.5002093	-0.48659086	0.0010371208	0
30.513672	-0.45785308	-2.0386479	-0.48800632	0.0010615587	0
31.013672	-0.46018958	-2.0955148	-0.48936293	0.0010415912	0
31.513672	-0.46113729	-2.4245055	-0.49096531	0.0010254979	1
32.013672	-0.46468377	-2.6847999	-0.49250245	0.0011396408	0
32.513672	-0.4637599	-3.1137302	-0.4942295	0.0011113286	0
33.013672	-0.46639442	-3.3864276	-0.49581289	0.0011101365	0
33.513672	-0.46765804	-3.4350443	-0.49768126	0.0010856986	0
34.013672	-0.46775937	-1.2974547	-0.49945459	0.0010100007	0
34.513672	-0.47002435	-2.9721105	-0.50107127	0.00094652176	0
35.013672	-0.47106743	-1.1636797	-0.50275946	0.0011321902	0
35.513672	-0.47395229	-1.6532965	-0.50426412	0.001065731	0
36.013672	-0.47338009	-1.7667314	-0.5060733	0.0010144711	0
36.513672	-0.47730207	-2.8866715	-0.5076682	0.0010401011	0
37.013672	-0.47656298	-2.9331722	-0.50937837	0.0010460615	0
37.513672	-0.47959089	-1.421314	-0.51106036	0.00097990036	0
38.013672	-0.47986507	-2.366678	-0.51271319	0.00098526478	0
38.513672	-0.48297048	-0.42102987	-0.51455438	0.0010731816	0
39.013672	-0.48530698	-2.4983177	-0.51639056	0.0010001659	0
39.513672	-0.48595071	-3.119318	-0.5179776	0.00099331141	0
40.013672	-0.48773289	-1.3589748	-0.51964706	0.0009855628	0
40.513672	-0.488168	-3.085079	-0.5210942	0.0010189414	0
41.013672	-0.49256682	-4.2629023	-0.52274376	0.001077354	0
41.513672	-0.49111247	-4.654181	-0.52416122	0.0009521842	0
42.013672	-0.4919827	-2.8314738	-0.52594566	0.0010067225	1
42.513672	-0.4940033	-2.0326228	-0.52740407	0.00094026327	0
43.013672	-0.49658418	-3.1863401	-0.52859819	0.00091195107	0
43.513672	-0.49703717	-0.3861734	-0.53005373	0.00099182129	0
44.013672	-0.49982071	-0.28818515	-0.53166991	0.00097155571	0
44.513672	-0.50091147	-3.5706167	-0.53331023	0.00097841024	0
45.013672	-0.50348639	-4.4636974	-0.53487253	0.00094413757	0
45.513672	-0.50187707	-2.7280993	-0.53639448	0.0009226799	0
46.013672	-0.50535202	-1.3317789	-0.53787959	0.00089913607	0
46.513672	-0.50451756	-1.9723338	-0.53946346	0.0010070205	0
47.013672	-0.50711036	-1.7112687	-0.54100084	0.00085175037	0
47.513672	-0.50961971	-1.8061038	-0.54258668	0.00088661909	0
48.013672	-0.51068068	-5.3073063	-0.54422629	0.00086903572	0
