Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51464844	-0.003731251	1.4956864	-0.002978442	0.000801981	0
1.0146484	-0.003027916	1.9994977	-0.00295483	0.00061512	0
1.5146484	-0.002759695	1.2925086	-0.002982675	0.000545383	0
2.0146484	-0.003284216	3.9810715	-0.003039809	0.000787377	0
2.5146484	-0.002843142	1.9177312	-0.003044349	0.000762939	0
3.0146484	-0.002342463	4.0321259	-0.003252698	0.000639856	0
3.5146484	-0.00282526	1.6178404	-0.003537939	0.000728369	0
4.0146484	-0.00385046	0.18321797	-0.004292219	0.00069201	0
4.5146484	-0.007414818	1.6481632	-0.007492071	0.000707805	0
5.0146484	-0.009799004	0.68348432	-0.011494025	0.000569224	0
5.5146484	-0.014954805	2.5240293	-0.015758175	0.000500977	0
6.0146484	-0.016796589	-0.18877535	-0.019613216	0.000857115	0
6.5146484	-0.021314621	0.57429063	-0.022053812	0.000545979	0
7.0146484	-0.022095442	1.6093405	-0.023912158	0.000490546	0
7.5146484	-0.023269653	1.4534503	-0.02539156	0.000751615	0
8.0146484	-0.025016069	0.066305362	-0.026465742	0.000656843	0
8.5146484	-0.025850534	3.1139362	-0.027208567	0.000622571	0
9.0146484	-0.027000904	2.5204258	-0.02828029	0.000676215	0
9.5146484	-0.029861927	1.1914433	-0.02939624	0.000718236	0
10.014648	-0.030589104	-0.25903231	-0.032884549	0.000849068	1
10.514648	-0.033324957	0.44141081	-0.037144966	0.000660419	1
11.014648	-0.035911798	2.8037732	-0.039225928	0.000605881	0
11.514648	-0.037509203	0.98892665	-0.040783562	0.001015663	0
12.014648	-0.039446354	2.1719694	-0.041273065	0.000672936	0
12.514648	-0.039827824	0.46136472	-0.041537646	0.000735223	0
13.014648	-0.04119277	0.92814642	-0.041842137	0.000710785	0
13.514648	-0.041377544	-0.027017629	-0.042253051	0.000801682	0
14.014648	-0.040858984	2.3042729	-0.043122429	0.000858903	0
14.514648	-0.043541193	0.70466673	-0.044696942	0.000699759	0
15.014648	-0.044262409	1.7201049	-0.04661689	0.00074476	0
15.514648	-0.045794249	1.269969	-0.04841096	0.000922084	0
16.014648	-0.048941374	0.96856612	-0.049870558	0.000679791	0
16.514648	-0.050139427	-2.0436409	-0.051335774	0.000742972	0
17.014648	-0.050479174	-0.002100104	-0.052763283	0.000708699	0
17.514648	-0.052237511	-0.72429305	-0.054242544	0.000824034	0
18.014648	-0.052815676	0.91801155	-0.05580914	0.000838041	0
18.514648	-0.055259466	1.0679438	-0.057119526	0.00071466	0
19.014648	-0.055676699	-1.3517619	-0.058442421	0.000853837	0
19.514648	-0.056946278	-0.51940423	-0.060352132	0.000802577	0
20.014648	-0.060516596	0.5990473	-0.062187918	0.000867248	0
20.514648	-0.06082654	-0.27682176	-0.064016953	0.000934601	0
21.014648	-0.062310696	1.092873	-0.065349534	0.000606775	1
21.514648	-0.06378293	1.4657964	-0.067085862	0.000846684	0
22.014648	-0.064498186	0.42947122	-0.068671837	0.000741184	0
22.514648	-0.06814003	1.3611305	-0.070187673	0.00087738	0
23.014648	-0.068950653	0.89244759	-0.07225655	0.00067085	0
23.514648	-0.069183111	1.9401566	-0.073680341	0.000716448	0
24.014648	-0.072532892	0.94911236	-0.075353585	0.00093013	0
24.514648	-0.074487925	0.26334658	-0.076803818	0.000778139	0
25.014648	-0.074082613	-0.26232871	-0.078235492	0.000759959	0
25.514648	-0.076729059	2.6636746	-0.079304315	0.000798106	0
26.014648	-0.077223778	-0.33395746	-0.080814101	0.000762343	0
26.514648	-0.075864792	2.4170001	-0.082342312	0.001076758	0
27.014648	-0.080770254	1.2606006	-0.083950549	0.000852346	0
27.514648	-0.08212924	0.37860075	-0.085488796	0.00090301	0
28.014648	-0.082248449	1.2090865	-0.087334186	0.000919998	0
28.514648	-0.085484982	1.607492	-0.088798538	0.000909865	0
29.014648	-0.087493658	0.3079226	-0.090684555	0.000983775	0
29.514648	-0.088143349	0.92133427	-0.092310444	0.000825226	0
30.014648	-0.090187788	1.8616163	-0.093709365	0.000914633	0
30.514648	-0.09123683	2.0138912	-0.095662974	0.001155734	0
31.014648	-0.092327595	0.28715846	-0.096905455	0.000881851	0
31.514648	-0.094360113	0.89868647	-0.098998934	0.000885725	1
32.014648	-0.093859434	1.0192261	-0.10037139	0.000893176	0
32.514648	-0.098079443	3.1885805	-0.10215376	0.000982881	0
33.014648	-0.096839666	-0.51522744	-0.10377467	0.000966489	0
33.514648	-0.099539757	-0.4822312	-0.10529961	0.000748634	0
34.014648	-0.099438429	1.0361701	-0.10732398	0.001057982	0
34.514648	-0.10277629	0.50797361	-0.10910253	0.001040697	0
35.014648	-0.10459423	3.7479336	-0.11043075	0.000781417	0
35.514648	-0.10839701	1.0678793	-0.11203791	0.001032352	0
36.014648	-0.1070261	2.4515729	-0.11348443	0.001095235	0
36.514648	-0.10915399	0.68297541	-0.11504355	0.000875294	0
37.014648	-0.1098156	1.2909116	-0.11657475	0.001007617	0
37.514648	-0.11329651	0.84248674	-0.11808664	0.000923276	0
38.014648	-0.1142025	3.377748	-0.11989348	0.00107646	0
38.514648	-0.11516809	1.9408382	-0.12128649	0.001135469	0
39.014648	-0.11724234	1.8668898	-0.12326727	0.000769198	0
39.514648	-0.11749864	0.3619023	-0.1245789	0.001066625	0
40.014648	-0.11996627	0.82119322	-0.12614091	0.001078546	0
40.514648	-0.12151599	0.16011976	-0.12747099	0.000904799	0
41.014648	-0.1211822	-0.28246397	-0.12845653	0.000987351	0
41.514648	-0.12300611	0.92849451	-0.13062097	0.001081824	0
42.014648	-0.12432933	-1.6604158	-0.13239235	0.001074374	1
42.514648	-0.12809634	0.53163046	-0.13425545	0.000957847	0
43.014648	-0.12971163	2.4617984	-0.13586582	0.000761747	0
43.514648	-0.12943149	-0.79362279	-0.13671599	0.001044273	0
