Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51464844	0.000691414	2.4527895	-0.000116825	-0.000137687	0
1.0146484	-0.000295043	3.8601954	-0.00012517	-0.000221133	0
1.5146484	0.000174344	2.092139	-0.000131577	-0.000255108	0
2.0146484	-0.001163781	3.1126289	-6.72E-05	-0.000353754	0
2.5146484	-0.000445545	1.452333	-0.000120699	-0.000316799	0
3.0146484	-0.001582503	1.4878007	-0.00018999	-0.000159144	0
3.5146484	-0.001142919	0.89253241	-6.85E-05	-0.000350177	0
4.0146484	-0.001870096	1.2640051	-0.00012964	-0.000302792	0
4.5146484	-0.003150106	1.992159	-0.000149608	-0.000315607	0
5.0146484	-0.00449121	1.1318301	-0.000127852	-0.000128448	0
5.5146484	-0.005806983	1.60858	-0.000157505	-0.000311732	0
6.0146484	-0.00577271	2.6309268	-0.000119656	-0.000270009	0
6.5146484	-0.005625188	-1.1259247	-0.000115633	-0.000258088	0
7.0146484	-0.006486476	0.78601211	-8.90E-05	-0.000135601	0
7.5146484	-0.008310378	0.008008474	-0.000189841	-0.000451207	0
8.0146484	-0.006610155	0.93539441	-0.000110567	-0.000249445	0
8.5146484	-0.009021163	-1.9665365	-0.000152737	-0.000140667	0
9.0146484	-0.009272993	-0.25986591	-0.000162423	-0.000278354	0
9.5146484	-0.009657443	-1.1456095	-0.000193417	-0.000378191	0
10.014648	-0.010144711	-0.97297692	-0.000191331	-0.000244379	1
10.514648	-0.010742247	-2.0183167	-0.000165254	-0.000304878	1
11.014648	-0.011478364	-0.86201656	-0.000171512	-0.000242889	0
11.514648	-0.011692941	-0.19171783	-0.000159293	-0.000435114	0
12.014648	-0.011484325	1.9734453	-0.000138581	-0.000310242	0
12.514648	-0.013031065	2.2381401	-0.00012815	-0.000211	0
13.014648	-0.012880564	0.19034897	-0.000153929	-0.000361204	0
13.514648	-0.014391541	1.2441213	-0.000188202	-0.000240803	0
14.014648	-0.013637543	0.99532634	-0.000154823	-0.000423789	0
14.514648	-0.015312433	0.34616613	-0.000147969	-0.000191331	0
15.014648	-0.014808774	0.63696325	-0.000216365	-0.000362694	0
15.514648	-0.015863776	0.68843037	-0.000174493	-0.000302196	0
16.014648	-0.016821921	2.2703614	-0.000201613	-0.000437498	0
16.514648	-0.016343594	1.0736591	-0.000179559	-0.000150502	0
17.014648	-0.018161535	2.7699227	-0.000119656	-0.000369549	0
17.514648	-0.017999113	2.652905	-0.000164807	-0.00031054	0
18.014648	-0.01924485	1.1476072	-0.000229925	-0.000258982	0
18.514648	-0.018815696	1.5476127	-0.000167638	-0.000232756	0
19.014648	-0.020061433	1.0484197	-0.000206381	-0.00010401	0
19.514648	-0.0205338	1.2058603	-0.000165552	-0.000410974	0
20.014648	-0.019998848	2.3814974	-0.000138432	-0.000239313	0
20.514648	-0.020748377	-0.98390156	-0.000139028	-0.000309646	0
21.014648	-0.020633638	-0.15691988	-0.000175238	-0.000196993	1
21.514648	-0.020566583	0.39489555	-0.000249892	-0.000252128	0
22.014648	-0.022983551	2.3213282	-0.000196993	-0.000216663	0
22.514648	-0.022783875	1.8888912	-0.000212938	-0.000321865	0
23.014648	-0.022655725	3.3141334	-0.000196099	-0.000191331	0
23.514648	-0.021913648	0.049051169	-0.00018239	-0.000258088	0
24.014648	-0.024175644	3.8601427	-0.000212491	-0.000255108	0
24.514648	-0.025555491	2.2216406	-0.000267774	-0.000294149	0
25.014648	-0.026065111	0.4262684	-0.00027433	-0.000325441	0
25.514648	-0.025580823	3.3056629	-0.000234693	-0.000107288	0
26.014648	-0.025673211	0.99666589	-0.00022918	-0.000400841	0
26.514648	-0.02566874	1.8765129	-0.000241846	-0.000229776	0
27.014648	-0.028185546	1.1473587	-0.000181943	-0.000244379	0
27.514648	-0.027829409	1.4391795	-0.00018537	-0.000195503	0
28.014648	-0.029502809	0.91239274	-0.000224411	-0.000137985	0
28.514648	-0.028419495	0.95559698	-0.000238419	-0.000308454	0
29.014648	-0.027374923	2.1881063	-0.000284612	-0.000225008	0
29.514648	-0.030298531	2.5538607	-0.000187755	-0.000371933	0
30.014648	-0.029444695	-0.60912663	-0.000199378	-0.00030756	0
