MTS793|MPT|FRA|1|2|.|.|:|33|1|1|A

Acquisition de données						Temps :	76.131836	Sec	06.06.2013 10:32:25
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51660156	0.001719594	-0.10888365	5.364418e-06	-0.0003862381	0
1.0166016	-0.0007390976	1.9295449	-9.4175339e-05	-0.00040352345	0
1.5166016	-0.0010073185	0.95241755	-3.516674e-05	-0.00070035458	0
2.0166016	-0.002220273	2.5935404	-4.440546e-05	-0.00074833632	0
2.5166016	-0.0070154667	2.0774765	-7.8380108e-05	-0.00083237886	0
3.0166016	-0.0084109604	-0.10165321	-1.4305115e-05	-0.00089764595	0
3.5166016	-0.0098913908	-1.4428532	-6.4373016e-05	-0.0009149313	0
4.0166016	-0.011232495	2.0715623	8.3446503e-06	-0.00098615885	0
4.5166016	-0.012770295	0.90282238	3.8146973e-05	-0.0010558963	0
5.0166016	-0.014137477	2.8158941	-8.136034e-05	-0.0013014674	0
5.5166016	-0.016010553	1.8721869	-5.7220459e-05	-0.0012618303	0
6.0166016	-0.016696751	3.1383388	5.9306622e-05	-0.0015431643	0
6.5166016	-0.019770116	1.2947228	-2.7120113e-05	-0.0016155839	0
7.0166016	-0.020655245	2.5132627	-3.2186508e-05	-0.0016593933	0
7.5166016	-0.02412796	0.49008465	-5.0961971e-05	-0.0017985702	0
8.0166016	-0.024497509	0.72850788	-3.7252903e-05	-0.0019216537	0
8.5166016	-0.02508983	3.2969348	-7.2717667e-05	-0.0019940734	0
9.0166016	-0.026647002	-0.91615421	-3.4272671e-05	-0.002180934	0
9.5166016	-0.028460473	2.5268986	-6.0498714e-05	-0.0025719404	0
10.016602	-0.029859692	4.6720057	9.5367432e-06	-0.0024831295	1
10.516602	-0.031083077	0.24592859	1.2814999e-05	-0.002644062	1
11.016602	-0.033130497	1.1186533	2.682209e-06	-0.0027370453	0
11.516602	-0.0345245	1.0791198	-3.0398369e-05	-0.0029563904	0
