Acquisition de données						Temps :	772.7793	Sec	05.06.2013 11:29:56
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.515625	0.0018745661	0.49944443	0.00076562166	6.5565109e-06	0
1.015625	0.0017225742	-0.15621495	0.00078842044	-0.00013798475	0
1.515625	0.00059902668	-2.58125	0.00079505146	-8.136034e-05	0
2.015625	0.0019848347	0.77982295	0.00082373619	5.6028366e-05	0
2.515625	0.0012218952	1.6529806	0.00081390142	2.682209e-06	0
3.015625	-0.00018775463	-0.6065439	0.00080920756	-0.00012367964	0
3.515625	0.0024884939	-1.5500931	0.00079602003	-0.00015616417	0
4.015625	0.00070780516	0.86051601	0.00084370375	7.212162e-05	0
4.515625	0.00059008598	-0.88171017	0.00085584819	4.4703484e-05	0
5.015625	-0.00025629997	-2.7738042	0.00085443258	-0.00010848045	0
5.515625	0.00024437904	-0.44460779	0.00090792775	-0.00014096498	0
6.015625	-0.0014290214	1.6216837	0.00092454255	-1.7881393e-05	0
6.515625	-0.0032827258	1.2218275	0.00095315278	-3.6656857e-05	0
7.015625	-0.0045314431	-1.5513275	0.00096172094	-9.5367432e-06	0
7.515625	-0.0058084726	0.83274084	0.0010108948	2.2053719e-05	0
8.015625	-0.0065624714	0.41020468	0.00097207725	0.00010818243	0
8.515625	-0.0076323748	-1.1647855	0.0010061264	4.5597553e-05	0
9.015625	-0.0080615282	2.2881479	0.0010534376	-3.3676624e-05	0
9.515625	-0.0076860189	0.48538724	0.0010789186	2.1457672e-05	0
10.015625	-0.0086501241	-0.20310752	0.0010842085	3.695488e-05	1
10.515625	-0.0091120601	0.3275694	0.0011023879	-3.5464764e-05	1
11.015625	-0.010287762	-1.6447089	0.0011069328	2.9802322e-07	0
11.515625	-0.011284649	-0.65557754	0.0011593848	-3.0994415e-05	0
12.015625	-0.010146201	-2.0191123	0.0011755526	-7.0929527e-05	0
12.515625	-0.011830032	-0.10781898	0.0011917204	-1.5199184e-05	0
13.015625	-0.011193752	-0.59611946	0.0012353808	-4.8577785e-05	0
13.515625	-0.012724102	-0.10243125	0.0012299418	-7.301569e-05	0
14.015625	-0.013493001	-2.2382894	0.0012478232	-6.2584877e-05	0
14.515625	-0.012750924	-2.0473554	0.0012176484	-3.4570694e-05	0
15.015625	-0.013783574	-1.2283852	0.0012724847	-1.5199184e-05	0
15.515625	-0.014567375	-0.077118851	0.0012882054	-7.7784061e-05	0
16.015625	-0.015409291	-0.97148228	0.0012661517	-0.00013500452	0
16.515625	-0.016285479	-0.47699851	0.0012532622	-6.3180923e-05	0
17.015625	-0.016050041	-0.45628411	0.0013237447	2.7120113e-05	0
17.515625	-0.016845763	-0.81451267	0.0013063103	-1.1324883e-05	0
18.015625	-0.016953051	-2.0675609	0.0012906641	-8.0168247e-05	0
18.515625	-0.018189847	0.31529638	0.0013977289	3.0398369e-05	0
19.015625	-0.01681149	-1.369607	0.0013887137	8.1956387e-05	0
19.515625	-0.018902123	0.1998316	0.0013447553	1.0728836e-05	0
20.015625	-0.018592179	-0.2636303	0.0013792515	1.1026859e-05	0
20.515625	-0.019708276	-2.6032395	0.0013979524	5.453825e-05	0
21.015625	-0.020614266	-0.40513283	0.0013548136	1.2814999e-05	1
21.515625	-0.019744039	-1.2287713	0.0013991445	-9.7453594e-05	0
22.015625	-0.021384656	-1.1224499	0.0014211237	-3.9935112e-05	0
22.515625	-0.020322204	-1.8726022	0.001360178	2.6226044e-05	0
23.015625	-0.022159517	2.37644	0.0014471263	6.1988831e-05	0
