Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51367188	0.000962615	2.2982104	0.000935495	-0.000189543	0
1.0136719	0.001674891	-0.85500216	0.000941157	-3.10E-05	0
1.5136719	0.002017617	-0.98699683	0.000939965	-0.00054121	0
2.0136719	-9.24E-05	-6.5120211	0.000879765	-0.000567734	0
2.5136719	-0.000479817	-10.41853	0.000869036	-0.001149476	0
3.0136719	-0.00179112	-17.845274	0.000773966	-0.002639592	0
3.5136719	-0.006350875	-25.554855	0.000368953	-0.004369617	0
4.0136719	-0.00936985	-33.862106	-0.000934303	-0.005803406	0
4.5136719	-0.010827184	-37.542683	-0.00228405	-0.0066939	0
5.0136719	-0.011977553	-40.665966	-0.003249645	-0.007863939	0
5.5136719	-0.013035536	-42.626701	-0.004311204	-0.008725822	0
6.0136719	-0.015160441	-45.855476	-0.005558431	-0.009783804	0
6.5136719	-0.016409159	-48.115055	-0.006783009	-0.010993779	0
7.0136719	-0.020512938	-54.288723	-0.007705689	-0.011896491	0
7.5136719	-0.020840764	-56.223717	-0.008803308	-0.012989044	0
8.0136719	-0.021958351	-58.816914	-0.00962168	-0.013786852	0
8.5136719	-0.024217367	-62.875069	-0.010951161	-0.015043616	0
9.0136719	-0.024789572	-63.531055	-0.012360811	-0.016469061	0
9.5136719	-0.026220083	-65.127922	-0.013542771	-0.017381608	0
10.013672	-0.028419495	-70.320023	-0.014860034	-0.018947423	1
10.513672	-0.029841065	-68.855484	-0.016318858	-0.020042956	1
11.013672	-0.030973554	-72.788254	-0.017589033	-0.021498501	0
11.513672	-0.032946467	-72.825645	-0.018760562	-0.022714734	0
12.013672	-0.034838915	-76.248611	-0.019924641	-0.023912489	0
12.513672	-0.036305189	-76.611641	-0.021381676	-0.025310516	0
13.013672	-0.038164854	-79.121559	-0.022565722	-0.026362538	0
13.513672	-0.040122867	-80.891975	-0.023900867	-0.027920604	0
14.013672	-0.040474534	-83.545013	-0.025218129	-0.029310286	0
14.513672	-0.041937828	-81.991356	-0.02658844	-0.030622482	0
15.013672	-0.041806698	-83.532829	-0.028006434	-0.031956136	0
15.513672	-0.045448542	-82.73365	-0.029067099	-0.033239722	0
16.013672	-0.046464801	-82.317665	-0.030764639	-0.034941137	0
16.513672	-0.048467517	-83.96154	-0.031959414	-0.036091208	0
17.013672	-0.049608946	-86.355003	-0.033170581	-0.0373891	0
