MTS793|MPT|FRA|1|2|.|.|:|33|1|1|A

Acquisition de données						Temps :	346.40332	Sec	28.05.2013 18:17:46
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51367188	-0.0027298927	2.7109239	0.0016692281	-0.001347959	0
1.0136719	-0.00065565109	-1.38441	0.0015293807	-0.0012846291	0
1.5136719	-0.0011205673	-0.14882071	0.0013539195	-0.0013630092	0
2.0136719	-0.0021517277	1.751232	0.0012350082	-0.0013008714	0
2.5136719	-0.0002682209	0.306153	0.00097215176	-0.0014051795	0
3.0136719	-0.0017642975	-3.083549	0.00036403537	-0.0014144182	0
3.5136719	-0.0061690807	1.2762372	-0.0015462935	-0.001462698	0
4.0136719	-0.0095665455	-0.94835186	-0.0059643388	-0.0014059246	0
4.5136719	-0.01321435	1.0365651	-0.0094988942	-0.0015079975	0
5.0136719	-0.014704466	-2.1413715	-0.011683702	-0.0013639033	0
5.5136719	-0.017273426	1.3782208	-0.012984276	-0.0014613569	0
6.0136719	-0.018233061	-1.7835263	-0.014734417	-0.0014023483	0
6.5136719	-0.019532442	-1.8071218	-0.016290694	-0.0014948845	0
7.0136719	-0.020903349	-1.5495725	-0.018233657	-0.0014877319	0
7.5136719	-0.0223279	-0.053327426	-0.019883662	-0.0014747679	0
8.0136719	-0.024431944	-0.74778903	-0.02120778	-0.0015561283	0
8.5136719	-0.02849102	-0.10257749	-0.022736192	-0.0014920533	0
9.0136719	-0.029885769	-3.0413277	-0.024279058	-0.001501888	0
9.5136719	-0.028502941	-1.9632373	-0.025632232	-0.0015935302	0
10.013672	-0.029855967	-2.2795076	-0.027734339	-0.0013417006	1
10.513672	-0.033140182	0.76085764	-0.029607415	-0.0015236437	1
11.013672	-0.033503771	-1.2358701	-0.031097233	-0.0014284253	0
11.513672	-0.036919117	0.08720988	-0.03242597	-0.0014878809	0
12.013672	-0.037676096	-0.74185729	-0.033882409	-0.0015103817	0
12.513672	-0.038975477	-1.3477138	-0.035709292	-0.0014048815	0
13.013672	-0.040662289	-0.45273325	-0.037378222	-0.0016193092	0
13.513672	-0.042253733	1.2575965	-0.039416403	-0.0015278161	0
14.013672	-0.043225288	-0.90467381	-0.040898919	-0.0015363097	0
14.513672	-0.044935942	-1.0336986	-0.042327642	-0.0015199184	0
15.013672	-0.04645586	-3.8389664	-0.043864399	-0.0015334785	0
15.513672	-0.048559904	0.24496627	-0.045495778	-0.0015710294	0
16.013672	-0.050491095	-1.8096255	-0.046550035	-0.0015822053	0
16.513672	-0.050318241	-1.0445209	-0.048068911	-0.0015421212	0
17.013672	-0.053155422	-1.7969254	-0.049757212	-0.0015103817	0
17.513672	-0.054508448	-1.4277108	-0.051403344	-0.0016126037	0
18.013672	-0.05736351	-2.5014195	-0.052718967	-0.0015977025	0
18.513672	-0.057113171	2.2555377	-0.054421723	-0.0014412403	0
19.013672	-0.059729815	-0.75027227	-0.055779368	-0.0015413761	0
19.513672	-0.059556961	-0.93292576	-0.05729124	-0.001475513	0
20.013672	-0.059980154	-2.5391834	-0.058824718	-0.0016051531	0
20.513672	-0.062847137	-1.6979309	-0.06059736	-0.0014872849	0
21.013672	-0.064396858	-0.90935373	-0.062577128	-0.001539737	1
21.513672	-0.066792965	1.1003726	-0.063862205	-0.0015796721	0
22.013672	-0.067800283	-0.71074766	-0.065440834	-0.0014637411	0
22.513672	-0.069272518	0.13602997	-0.066667944	-0.0015045702	0
23.013672	-0.071656704	-1.4110475	-0.0678505	-0.0014652312	0
23.513672	-0.072562695	-2.7304215	-0.068944842	-0.0013849139	0
24.013672	-0.07250905	-2.6560316	-0.070550591	-0.0013774633	0
24.513672	-0.074201822	-0.43064997	-0.07236436	-0.0014525652	0
25.013672	-0.077086687	0.24016647	-0.07386893	-0.0013457239	0
25.513672	-0.076687336	1.2001829	-0.075145364	-0.0014159083	0
26.013672	-0.077724457	-0.36146939	-0.076554567	-0.0013414025	0
26.513672	-0.081497431	-1.0612749	-0.078424215	-0.0013056397	0
27.013672	-0.081181526	-0.8617124	-0.080555677	-0.0013874471	0
27.513672	-0.085514784	-0.62574607	-0.082662106	-0.0013169646	0
28.013672	-0.086158514	-4.3448396	-0.084155053	-0.0012500584	0
28.513672	-0.087368488	-2.0354686	-0.085826069	-0.0012525916	0
29.013672	-0.087487698	-1.9029368	-0.08710593	-0.0013867021	0
29.513672	-0.090116262	-2.9767363	-0.088208169	-0.0013199449	0
30.013672	-0.092357397	-3.3726554	-0.089598596	-0.0013194978	0
30.513672	-0.091570616	-2.9817085	-0.091153979	-0.0013284385	0
31.013672	-0.095385313	-1.6112827	-0.093194097	-0.0011947751	0
31.513672	-0.098145008	-1.7985576	-0.095015466	-0.0011350214	1
32.013672	-0.097197294	-2.8409405	-0.096173286	-0.0012657046	0
32.513672	-0.09983182	-0.18809384	-0.098013729	-0.0011584163	0
33.013672	-0.097835064	-0.440469	-0.09962216	-0.0011187792	0
33.513672	-0.10178685	-1.2417903	-0.10136217	-0.0011141598	0
34.013672	-0.10453463	-3.1506674	-0.10264158	-0.0010900199	0
34.513672	-0.10433793	-0.92754388	-0.10428399	-0.0010335445	0
35.013672	-0.10696054	-3.8514206	-0.10541394	-0.0011171401	0
35.513672	-0.10696054	-5.0504775	-0.10705099	-0.0010673702	0
36.013672	-0.10923743	-1.9795555	-0.10846198	-0.0010675192	0
36.513672	-0.11150241	-3.7647228	-0.11002868	-0.0010669231	0
37.013672	-0.11065602	-3.4887609	-0.11163577	-0.0010967255	0
37.513672	-0.11262894	-3.3496218	-0.11329412	-0.0010535121	0
38.013672	-0.11492372	-2.5594912	-0.11464998	-0.0010089576	0
38.513672	-0.11678934	-3.5305436	-0.11603028	-0.00098183751	0
39.013672	-0.11959672	-1.5825071	-0.1177974	-0.0010748208	0
39.513672	-0.11979938	-2.0680699	-0.11912644	-0.001026839	0
40.013672	-0.1228869	-2.9591956	-0.12050197	-0.00095441937	0
40.513672	-0.12384653	-1.7551163	-0.12183174	-0.00098705292	0
41.013672	-0.12341738	-1.2472979	-0.12350723	-0.00098228455	0
41.513672	-0.12685061	0.95707405	-0.12560517	-0.00094026327	0
42.013672	-0.12517571	-2.6631832	-0.12738407	-0.00087410212	1
42.513672	-0.1277566	-3.1672869	-0.12876391	-0.00093087554	0
43.013672	-0.13021231	-5.9516182	-0.13032928	-0.00099107623	0
43.513672	-0.13264418	-2.9865437	-0.13198167	-0.0008584559	0
44.013672	-0.1331985	-4.2005086	-0.13370663	-0.00073954463	0
44.513672	-0.1354754	-0.26117045	-0.13540789	-0.00094667077	0
45.013672	-0.13705492	-0.38380715	-0.13730854	-0.00087350607	0
45.513672	-0.13773441	-3.5569527	-0.13900965	-0.00089302659	0
46.013672	-0.1385808	1.6495876	-0.14051333	-0.00085771084	0
46.513672	-0.14193058	-0.91020191	-0.14189973	-0.00081777573	0
47.013672	-0.14182329	-0.59464234	-0.14343381	-0.00088810921	0
47.513672	-0.14441013	2.1076794	-0.14516532	-0.00068843365	0
48.013672	-0.14539957	-3.4123819	-0.14680296	-0.00077143312	0
48.513672	-0.14707446	-1.42872	-0.14848366	-0.00067800283	0
49.013672	-0.14852881	-2.8197637	-0.15034795	-0.00081270933	0
49.513672	-0.15189648	-2.8917084	-0.15152484	-0.00061228871	0
50.013672	-0.15127063	-3.4511199	-0.15243575	-0.0007045269	0
50.513672	-0.15234947	-0.075864054	-0.15387654	-0.00065222383	0
51.013672	-0.15322566	-3.0454226	-0.1552403	-0.00077471137	0
51.513672	-0.15663505	-2.0983369	-0.15712127	-0.00069245696	0
52.013672	-0.15841126	-0.24815445	-0.15835404	-0.0006955862	0
52.513672	-0.15903711	-1.9116355	-0.15998468	-0.00037446618	1
53.013672	-0.16081333	-0.020331228	-0.16125858	-0.00062003732	1
53.513672	-0.16069412	0.42450759	-0.16231269	-0.00066965818	0
54.013672	-0.16331673	-1.2811219	-0.16345277	-0.00047147274	0
54.513672	-0.16480684	-3.8277988	-0.16610458	-0.00052243471	0
55.013672	-0.16799569	-1.4886811	-0.16795143	-0.00055775046	0
55.513672	-0.16846061	-3.3079383	-0.16946003	-0.00062718987	0
56.013672	-0.17239451	0.85728693	-0.17066121	-0.00042483211	0
56.513672	-0.1711309	1.2220001	-0.17181814	-0.00053316355	0
57.013672	-0.17201304	-1.020981	-0.17359778	-0.00041440129	0
57.513672	-0.17368793	-1.3022603	-0.17525166	-0.00044956803	0
58.013672	-0.1742363	-0.91837424	-0.17729759	-0.00049129128	0
58.513672	-0.17624497	-1.2466836	-0.17856494	-0.00048652291	0
59.013672	-0.17837286	-0.41013741	-0.18010363	-0.00041648746	0
59.513672	-0.18058419	-3.5961878	-0.18155172	-0.00038787723	0
60.013672	-0.18233657	-2.4121125	-0.18319085	-0.00033944845	0
60.513672	-0.18368959	-3.2142117	-0.18454313	-0.00031962991	0
61.013672	-0.18340945	-3.878845	-0.1856637	-0.00041484833	0
61.513672	-0.18526912	-0.8561433	-0.18726692	-0.00028640032	0
62.013672	-0.18721223	-2.908205	-0.18872723	-0.00034362078	0
62.513672	-0.18803477	-3.0871468	-0.19048244	-0.00029250979	0
63.013672	-0.19130707	-0.47684056	-0.1918374	-0.00028729439	0
63.513672	-0.19139647	0.10807637	-0.19349575	-0.00035136938	1
64.013672	-0.19232035	-2.955826	-0.19524723	-0.00032186508	0
64.513672	-0.19537807	-1.4032613	-0.19711971	-0.00025883317	0
65.013672	-0.19699335	-1.6594155	-0.19898146	-0.00031858683	0
65.513672	-0.19778609	-1.4363248	-0.20051703	-0.00034332275	0
66.013672	-0.19939542	-0.019544419	-0.20212322	-0.00036805868	0
66.513672	-0.20054579	-2.3759136	-0.20376697	-0.00021606684	0
67.013672	-0.20299554	-0.20467822	-0.2051273	-0.0001758337	0
67.513672	-0.2055645	-0.13316354	-0.20682052	-0.00026062131	0
68.013672	-0.20463467	-2.937741	-0.20827055	-0.00027909875	0
68.513672	-0.20822883	-4.1518145	-0.20991132	-0.00027701259	0
69.013672	-0.2071023	0.16097969	-0.21181226	-0.00020712614	0
69.513672	-0.208354	-1.4440935	-0.21359697	-0.00024959445	0
70.013672	-0.21317601	-2.4373577	-0.21510109	-0.00020742416	0
70.513672	-0.21263361	-1.6460367	-0.21645069	-0.00014185905	0
71.013672	-0.21395683	-1.5972079	-0.2181156	-0.00014066696	0
71.513672	-0.21634102	-1.0933322	-0.21940991	-0.00027194619	0
72.013672	-0.21867752	-0.56965756	-0.22107273	-0.00025674701	0
72.513672	-0.2180934	-1.8350374	-0.22230268	-0.00022411346	0
73.013672	-0.21994114	-1.157751	-0.22375688	-0.00027582049	0
73.513672	-0.22165775	-2.5227981	-0.22529125	-0.00021830201	0
74.013672	-0.22376776	-2.2682672	-0.22681594	-0.00017955899	1
74.513672	-0.22514462	-2.3882596	-0.22803903	-0.00013560057	0
75.013672	-0.22580624	-0.81227511	-0.2291581	-0.00019624829	0
75.513672	-0.22827387	-1.6669443	-0.23046449	-0.00010624528	0
76.013672	-0.22884607	-3.0805511	-0.23224533	-0.00017270446	0
76.513672	-0.2310276	-1.8136795	-0.23401499	-0.00024989247	0
77.013672	-0.23181438	0.63761842	-0.23596108	-0.00013500452	0
77.513672	-0.23527145	-0.73440164	-0.23765817	-0.00014096498	0
78.013672	-0.23607016	1.0768795	-0.23905605	-0.00011444092	0
78.513672	-0.23618937	-0.080988549	-0.24063721	-0.00027239323	0
79.013672	-0.23830533	-1.7643621	-0.2424036	-0.00010713935	0
79.513672	-0.24015903	-0.58015513	-0.24428278	-0.00022351742	0
80.013672	-0.24192929	-1.579746	-0.24567798	-0.00014230609	0
80.513672	-0.24082065	-2.8190207	-0.24720624	-0.00010669231	0
81.013672	-0.24472475	0.075852349	-0.2491872	-0.00013560057	0
81.513672	-0.24585724	0.30508247	-0.25144368	-6.0498714e-05	0
82.013672	-0.24911761	-2.4612455	-0.25300562	-0.00014767051	0
82.513672	-0.24828315	-1.7681822	-0.2544485	-2.4735928e-05	0
83.013672	-0.24935007	0.5179593	-0.25584236	-0.00019222498	0
83.513672	-0.25286078	-0.55569685	-0.25706694	-0.00016659498	0
84.013672	-0.254035	0.46416682	-0.25863737	-0.00010430813	0
84.513672	-0.25542974	-2.7021842	-0.26027113	-0.00023797154	1
85.013672	-0.25544167	-2.2858839	-0.26158586	-2.3394823e-05	0
85.513672	-0.25815368	-0.83111167	-0.26316866	-0.00014901161	0
86.013672	-0.26041269	-2.6453178	-0.2647236	-7.9870224e-05	0
86.513672	-0.26208162	-4.6451836	-0.26632309	-0.0001449883	0
87.013672	-0.26091337	-2.4350936	-0.26794121	-0.00013038516	0
87.513672	-0.26599169	-3.438493	-0.26942953	-5.6177378e-05	0
88.013672	-0.26603341	-1.0684644	-0.27114615	-0.00010117888	0
88.513672	-0.26797056	-0.63195866	-0.27232453	-5.2005053e-05	0
89.013672	-0.26853681	0.42322356	-0.27413502	-5.0663948e-06	0
89.513672	-0.27009845	-3.7434146	-0.27590722	-8.1807375e-05	0
90.013672	-0.27138591	-2.0849235	-0.27761579	-8.1658363e-05	0
90.513672	-0.27273893	-2.3356166	-0.27909845	-8.5383654e-05	0
91.013672	-0.27417541	-3.5943861	-0.28077826	5.3048134e-05	0
91.513672	-0.27620196	-4.0155301	-0.28254092	-0.0001077354	0
92.013672	-0.27636886	0.97321379	-0.28371513	-0.00013247132	0
92.513672	-0.28033257	-3.0040493	-0.28508157	-0.00010102987	0
93.013672	-0.28088689	-0.6827209	-0.2863878	2.220273e-05	0
93.513672	-0.28235912	-0.79158407	-0.28818443	2.9802322e-07	0
94.013672	-0.28159618	-0.93692124	-0.28950915	-3.8295984e-05	0
94.513672	-0.28607249	-3.6526625	-0.29087216	2.8312206e-06	0
95.013672	-0.28651357	-2.5975535	-0.29262632	3.9935112e-05	1
95.513672	-0.28805733	-2.9092433	-0.29389262	-2.4884939e-05	0
96.013672	-0.29044747	-4.136488	-0.29530838	5.0663948e-05	0
96.513672	-0.2902329	-2.3682501	-0.29684365	9.6410513e-05	0
97.013672	-0.29226542	-3.8846216	-0.29835999	1.6391277e-06	0
97.513672	-0.29360056	-1.0714245	-0.30019298	-6.9886446e-05	0
98.013672	-0.29534698	-2.8766129	-0.30216932	0.00017046928	0
98.513672	-0.29657483	-3.1800983	-0.30376747	3.5762787e-06	0
99.013672	-0.2984941	-4.8068976	-0.30529559	0.00016197562	0
99.513672	-0.30201077	-1.3932726	-0.30660734	8.3148479e-05	0
100.01367	-0.30115843	-1.3478893	-0.30808195	3.1292439e-05	0
100.51367	-0.30145645	-1.9588236	-0.30978888	2.9951334e-05	0
101.01367	-0.30503869	-0.18165605	-0.31133577	5.0514936e-05	0
101.51367	-0.30410886	-1.1706089	-0.3134039	0.00015750527	0
102.01367	-0.30740499	-1.2366921	-0.31529963	4.7981739e-05	0
102.51367	-0.30888319	-3.286803	-0.31660795	0.00015109777	0
103.01367	-0.31288266	-1.1759266	-0.31827539	0.00014871359	0
103.51367	-0.31217337	0.12003936	-0.3193593	0.00024884939	0
104.01367	-0.31129122	-0.38358191	-0.32109097	0.00022828579	0
104.51367	-0.31603575	-1.5477121	-0.32287359	6.1690807e-05	0
105.01367	-0.31703115	-1.1635131	-0.32456011	0.00029578805	0
105.51367	-0.31825304	-2.9885323	-0.32583594	0.00019416213	1
106.01367	-0.31897426	-1.5955698	-0.32750592	0.00028729439	1
106.51367	-0.31977296	-1.7832192	-0.32877222	0.00017300248	0
107.01367	-0.32397509	1.8492906	-0.33045888	0.00021457672	0
107.51367	-0.32200813	-3.8952186	-0.3318198	0.00016823411	0
108.01367	-0.32721162	-1.3497584	-0.33349872	0.00022545457	0
108.51367	-0.3287673	-4.5178823	-0.33478394	0.00023379922	0
109.01367	-0.32939911	-3.3313291	-0.33613443	0.00016719103	0
109.51367	-0.32943487	-3.0002499	-0.33733353	8.5532665e-05	0
110.01367	-0.33032298	-1.7024091	-0.33876151	0.00016123056	0
110.51367	-0.33336878	-3.6484742	-0.3400065	7.9572201e-05	0
111.01367	-0.33347011	-2.472919	-0.34156755	0.00012084842	0
111.51367	-0.33644438	-1.6607697	-0.34348994	0.00011399388	0
112.01367	-0.3362	-4.1656055	-0.34467503	6.92904e-05	0
112.51367	-0.33711791	-0.95587778	-0.34594208	0.00017121434	0
113.01367	-0.34000874	-2.4735861	-0.34765467	0.00013247132	0
113.51367	-0.3420949	-2.0217798	-0.34921825	0.00020295382	0
114.01367	-0.34352541	-2.4110565	-0.35065442	0.00013723969	0
114.51367	-0.3455162	-0.76665193	-0.35243571	0.00011727214	0
115.01367	-0.34670234	-0.45126492	-0.35400078	2.4884939e-05	0
115.51367	-0.34609437	-1.5349244	-0.35571173	0.00026628375	0
116.01367	-0.34928322	-2.3386762	-0.35780564	0.00027000904	0
116.51367	-0.35107732	0.36195785	-0.35971254	0.00024825335	1
117.01367	-0.35245419	-4.2672763	-0.36105663	0.00015556812	0
117.51367	-0.35460591	-1.4928316	-0.3629069	0.00024020672	0
118.01367	-0.35429597	-2.1047194	-0.36462799	0.00017881393	0
118.51367	-0.35610199	-2.8545647	-0.36603063	0.00029534101	0
119.01367	-0.35960674	-3.9048886	-0.36715746	0.00026836991	0
119.51367	-0.35951734	-1.5339708	-0.36808535	0.00011324883	0
120.01367	-0.36039352	-3.7988949	-0.36982968	0.0001296401	0
120.51367	-0.36287308	-2.3428295	-0.37142232	0.00017538667	0
121.01367	-0.36348701	-3.9828262	-0.37263721	0.0002604723	0
121.51367	-0.36665201	-1.1399878	-0.37450165	0.0001347065	0
122.01367	-0.36806464	-4.3894043	-0.37622467	0.00014305115	0
122.51367	-0.36973953	-2.9093106	-0.37774622	0.00019326806	0
123.01367	-0.36913753	-3.6228077	-0.37916556	2.8312206e-05	0
123.51367	-0.37186742	-2.1696296	-0.38058862	0.00012084842	0
124.01367	-0.37357211	-2.6405969	-0.38221523	0.0001616776	0
124.51367	-0.37587285	-4.1838751	-0.38375124	5.8114529e-05	0
125.01367	-0.37747025	-3.9392948	-0.38498253	0.00010326505	0
125.51367	-0.37584901	-2.6875772	-0.38658708	-6.4224005e-05	0
126.01367	-0.37828088	-1.3978795	-0.38821951	4.6491623e-05	0
126.51367	-0.38257241	-4.0952463	-0.39027005	5.6624413e-06	0
127.01367	-0.38163066	-0.89752239	-0.3918317	0.00012755394	1
127.51367	-0.38205981	-2.8149345	-0.39337203	8.4042549e-05	0
128.01367	-0.3854692	-2.202383	-0.39501429	-0.00016734004	0
128.51367	-0.38858652	-3.0197036	-0.39697811	0.00013887882	0
129.01367	-0.39001107	-4.5450134	-0.39831579	-5.3346157e-05	0
129.51367	-0.39125681	-3.8196206	-0.3997995	-7.5399876e-05	0
130.01367	-0.39126873	-2.6233513	-0.40104404	1.1175871e-05	0
130.51367	-0.39326549	-6.6162572	-0.40286899	1.4901161e-05	0
131.01367	-0.39484501	-3.9319239	-0.40514514	0.00013977289	0
131.51367	-0.39794445	-5.190465	-0.40711343	-8.046627e-06	0
132.01367	-0.39874315	-6.2038202	-0.40861145	0.00022977591	0
132.51367	-0.40077567	-4.070013	-0.40977269	0.00022545457	0
133.01367	-0.40165782	-3.9565313	-0.41104332	3.6209822e-05	0
133.51367	-0.40305257	-4.9025226	-0.41234538	0.00017598271	0
134.01367	-0.40265322	-4.8269658	-0.41366041	7.0184469e-05	0
134.51367	-0.40454268	-3.8372817	-0.41505396	7.8529119e-05	0
135.01367	-0.40698647	-2.4674318	-0.41628659	1.6093254e-05	0
135.51367	-0.40821433	-3.7976575	-0.41743353	-8.1211329e-05	0
136.01367	-0.40743351	-3.6556754	-0.41882783	0.00018164515	0
136.51367	-0.41087866	-6.2607312	-0.42058527	6.8992376e-05	0
137.01367	-0.41248798	-3.3639245	-0.42219192	7.1823597e-05	0
137.51367	-0.41486621	-0.54079139	-0.42425558	0.00010505319	1
138.01367	-0.41565895	-4.47786	-0.42550638	-8.6426735e-06	0
138.51367	-0.41695833	-3.0152314	-0.42708039	0.00020489097	0
139.01367	-0.41956902	-4.5481668	-0.428579	4.9471855e-05	0
139.51367	-0.41998625	-2.5182848	-0.42991295	0.00017642975	0
140.01367	-0.42108893	-2.7789316	-0.43158472	-5.8561563e-05	0
140.51367	-0.42332411	-5.8997793	-0.43328658	4.6342611e-05	0
141.01367	-0.4247427	-2.3547428	-0.43462679	0.00013440847	0
141.51367	-0.42383075	-2.6275077	-0.43618605	4.4554472e-05	0
142.01367	-0.42842031	-5.794672	-0.43779939	6.005168e-05	0
142.51367	-0.42744279	-3.9896061	-0.43943033	0.00022187829	0
143.01367	-0.43119788	-4.6639647	-0.44100419	0.00019177794	0
143.51367	-0.42977929	-5.0449901	-0.44305682	0.00023797154	0
144.01367	-0.43419003	-4.5605245	-0.44424534	0.00010147691	0
144.51367	-0.4342258	-4.9710746	-0.44557482	0.00029996037	0
145.01367	-0.43468475	-5.9162617	-0.44719234	-3.516674e-05	0
145.51367	-0.43669939	-3.7093916	-0.44873789	0.000243783	0
146.01367	-0.43823123	-5.0115552	-0.45030013	0.0001783669	0
146.51367	-0.44122934	-5.4202714	-0.4523401	5.1707029e-05	0
147.01367	-0.44147968	-6.1117029	-0.45402914	0.00020474195	0
147.51367	-0.44476986	-4.1098914	-0.45565888	-3.4868717e-05	0
148.01367	-0.44558048	-7.9825034	-0.45663789	0.00026002526	1
148.51367	-0.44652224	-6.2608509	-0.45872644	-2.6971102e-05	1
149.01367	-0.44890642	-6.3016305	-0.46035647	-4.5448542e-05	0
149.51367	-0.45027137	-5.3767862	-0.46151847	0.00010952353	0
150.01367	-0.45061707	-7.6093373	-0.46282902	-0.00024467707	0
