
Acquisition de données						Temps :	655.3457	Sec	05.06.2013 15:20:02
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51660156	-0.00019967556	4.5078111	-7.7486038e-06	0.0057330728	0
1.0166016	-0.001193583	2.9392035	-5.1707029e-05	0.0058084726	0
1.5166016	-0.0016734004	4.2695813	-0.00010102987	0.0057289004	0
2.0166016	-0.0023946166	4.0632033	-0.0003759563	0.0058737397	0
2.5166016	-0.0027000904	6.6185093	-0.0015622377	0.0058117509	0
3.0166016	-0.0066295266	5.59408	-0.0042530894	0.0056442618	0
3.5166016	-0.0087678432	2.2526684	-0.0074502826	0.0058016181	0
4.0166016	-0.011786819	4.1767616	-0.010290444	0.0057420135	0
4.5166016	-0.012390316	3.985956	-0.012154281	0.0060218573	0
5.0166016	-0.01399219	3.676574	-0.013939738	0.0058701634	0
5.5166016	-0.016491115	5.1505308	-0.015647411	0.0059264898	0
6.0166016	-0.018277764	4.7913079	-0.017554015	0.0059205294	0
6.5166016	-0.020357966	3.5214646	-0.019132048	0.0057834387	0
7.0166016	-0.021925569	4.4172673	-0.020643175	0.0059983134	0
7.5166016	-0.023013353	4.5358968	-0.022239536	0.0059378147	0
8.0166016	-0.023894012	3.980042	-0.023893267	0.0057891011	0
8.5166016	-0.025394559	3.5851872	-0.025538057	0.0060269237	0
9.0166016	-0.028011203	5.54738	-0.027148575	0.0058671832	0
9.5166016	-0.02938211	0.64029765	-0.028730631	0.0059092045	0
10.016602	-0.031042099	3.81163	-0.030020773	0.0059011579	1
10.516602	-0.032664835	5.9273472	-0.031548291	0.006057024	1
11.016602	-0.033661723	2.5306485	-0.033185035	0.005980432	0
11.516602	-0.034022331	3.2590101	-0.034648329	0.0060287118	0
12.016602	-0.036977232	4.3324265	-0.03627494	0.0059533119	0
12.516602	-0.037479401	4.7942271	-0.037824959	0.0059989095	0
13.016602	-0.038555264	3.7756941	-0.039545149	0.0061056018	0
13.516602	-0.041243434	3.2012718	-0.040965527	0.0060367584	0
14.016602	-0.043173134	2.3055689	-0.042736083	0.0061240792	0
14.516602	-0.043287873	2.5144091	-0.044191331	0.0061169267	0
15.016602	-0.045141578	4.1699052	-0.045847148	0.0060454011	0
15.516602	-0.047543645	5.3994722	-0.047503561	0.0060498714	0
16.016602	-0.048150122	2.5909021	-0.048800558	0.0061386824	0
16.516602	-0.050188601	2.4529915	-0.050479919	0.0062683225	0
17.016602	-0.0514552	3.7991111	-0.051994771	0.0061038136	0
17.516602	-0.052502751	2.0833147	-0.053517371	0.0061905384	0
18.016602	-0.053791702	1.8748136	-0.055079013	0.0060647726	0
18.516602	-0.056989491	6.0983562	-0.05660519	0.0061100721	0
19.016602	-0.057794154	5.7006879	-0.05817309	0.0061693788	0
19.516602	-0.060173869	5.0573716	-0.059629828	0.0061643124	0
20.016602	-0.060838461	3.468143	-0.06129846	0.0063088536	0
20.516602	-0.062072277	5.5435781	-0.062901825	0.0061413646	0
21.016602	-0.063474476	2.836035	-0.064518303	0.0064194202	1
21.516602	-0.064682961	5.7919574	-0.065981001	0.0061121583	0
22.016602	-0.066259503	4.7448306	-0.067587644	0.0061434507	0
22.516602	-0.067582726	5.8565755	-0.069068521	0.0062268972	0
23.016602	-0.069229305	4.4508743	-0.070716888	0.0061368942	0
23.516602	-0.070072711	5.4829617	-0.072330385	0.0063103437	0
24.016602	-0.072270632	7.0318437	-0.073866397	0.0061753392	0
24.516602	-0.074182451	6.3061147	-0.07544592	0.0063547492	0
25.016602	-0.074028969	5.7526407	-0.076843053	0.006185174	0
25.516602	-0.07660538	4.6267624	-0.078506619	0.0062355399	0
26.016602	-0.077956915	4.7615085	-0.08019492	0.0062546134	0
26.516602	-0.079493225	4.7530084	-0.081745237	0.0062456727	0
27.016602	-0.080002844	5.366508	-0.083278865	0.0064453483	0
27.516602	-0.083909929	3.1722097	-0.084906071	0.006314218	0
28.016602	-0.083933771	6.1345143	-0.086410195	0.0064361095	0
28.516602	-0.086088479	6.6737318	-0.088075548	0.0062468648	0
29.016602	-0.08867085	7.2004542	-0.089584142	0.0062713027	0
29.516602	-0.088854134	8.2891331	-0.091138631	0.0062668324	0
30.016602	-0.091156363	3.8244002	-0.092619509	0.0062784553	0
30.516602	-0.091603398	4.2852588	-0.094268769	0.0063833594	0
31.016602	-0.093124807	7.0814095	-0.095767528	0.0062394142	0
31.516602	-0.094786286	3.6353383	-0.097483248	0.0063571334	1
32.016602	-0.096707046	2.2624493	-0.098852068	0.0062653422	0
32.516602	-0.097429752	4.0534229	-0.10044083	0.0063663721	0
33.016602	-0.099290907	5.3962665	-0.10203317	0.0063216686	0
33.516602	-0.10154098	2.504792	-0.10365829	0.0063306093	0
34.016602	-0.10326803	2.9147861	-0.1050742	0.0063294172	0
34.516602	-0.10477453	4.121006	-0.1067324	0.0062429905	0
35.016602	-0.10573119	2.5536735	-0.10836467	0.0063693523	0
35.516602	-0.10659993	4.4694948	-0.10990962	0.0062578917	0
36.016602	-0.10829419	4.9195313	-0.11145189	0.0063949823	0
36.516602	-0.11011809	4.8153157	-0.11316106	0.0062155724	0
37.016602	-0.11204332	3.4671192	-0.11477306	0.0063207746	0
37.516602	-0.11327714	5.2094336	-0.11646643	0.0061818957	0
38.016602	-0.11365712	4.3076758	-0.11804625	0.0062894821	0
38.516602	-0.11518747	5.1844425	-0.1193513	0.0062641501	0
