MTS793|MPT|FRA|1|2|.|.|:|33|1|1|A

Acquisition de données						Temps :	787.88867	Sec	05.06.2013 19:54:20
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.515625	-5.9604645e-06	-2.1998382	-0.00019237399	0.00028580427	0
1.015625	-0.00205338	0.21031457	-0.0017383695	0.0003182888	0
1.515625	-0.0024050474	-0.97541922	-0.0041364133	0.00018447638	0
2.015625	-0.0063985586	-1.7508372	-0.0057166815	0.0001809001	0
2.515625	-0.0069826841	-2.0523045	-0.0070352852	0.00024646521	0
3.015625	-0.008174777	-1.320199	-0.0090655684	0.00018656254	0
3.515625	-0.010189414	1.8669162	-0.010742545	0.00021845102	0
4.015625	-0.011560321	-1.305001	-0.012356341	0.00017613173	0
4.515625	-0.013786554	-2.2257299	-0.014484972	0.00025451183	0
5.015625	-0.013962388	0.066039197	-0.016439259	0.00018566847	0
5.515625	-0.016912818	-1.5039961	-0.018122941	0.00025510788	0
6.015625	-0.018286705	-1.0273428	-0.019683838	0.00022381544	0
6.515625	-0.01886785	-1.1488271	-0.021261871	0.00020384789	0
7.015625	-0.02181232	-1.5034989	-0.023190081	0.00016629696	0
7.515625	-0.023898482	-2.7197514	-0.024869889	0.00016212463	0
8.015625	-0.025597215	-2.7279003	-0.026530325	8.1658363e-05	0
8.515625	-0.024744868	-2.5213354	-0.027947873	7.5399876e-05	0
9.015625	-0.026756525	-1.0711524	-0.029977411	8.225441e-05	0
9.515625	-0.028523803	-2.8625937	-0.031293631	8.046627e-05	0
10.015625	-0.029909611	2.4477499	-0.033194274	5.2750111e-05	1
10.515625	-0.031146407	-1.5392767	-0.03496334	7.9870224e-05	1
11.015625	-0.033316016	-2.6161969	-0.036905706	0.00014156103	0
11.515625	-0.034990907	-3.3359535	-0.038024634	0.00022530556	0
12.015625	-0.036799908	-3.3722987	-0.039601177	0.00010818243	0
12.515625	-0.037416816	-6.7212214	-0.041457713	0.00010997057	0
13.015625	-0.039589405	-4.746644	-0.043630153	6.1392784e-05	0
13.515625	-0.038650632	-6.5292406	-0.045250356	9.2089176e-05	0
14.015625	-0.041484833	-4.6943402	-0.046987385	9.1791153e-05	0
14.515625	-0.043967366	-7.2171912	-0.048457384	-5.6624413e-05	0
15.015625	-0.045397878	-8.1200485	-0.050318092	3.2484531e-05	0
15.515625	-0.04671514	-4.8652735	-0.052413046	-1.9967556e-05	0
16.015625	-0.048077106	-6.3874221	-0.053790361	-6.7651272e-05	0
16.515625	-0.048661232	-5.3924055	-0.055597275	-2.0861626e-06	0
17.015625	-0.05120337	-7.5027289	-0.05758211	-4.0531158e-05	0
17.515625	-0.053149462	-5.805582	-0.058674067	-7.8380108e-05	0
18.015625	-0.05505681	-4.7865458	-0.060787797	-7.0631504e-05	0
18.515625	-0.057071447	-5.5343642	-0.062538534	-0.00011026859	0
19.015625	-0.057297945	-4.4774857	-0.064040124	-9.5367432e-06	0
19.515625	-0.057849288	-8.8254843	-0.06596759	-0.00020295382	0
20.015625	-0.060299039	-6.5469651	-0.067798197	-0.00010967255	0
20.515625	-0.061222911	-6.7220521	-0.069526881	9.1195107e-05	0
21.015625	-0.062456727	-8.5399752	-0.071526766	4.1723251e-06	1
21.515625	-0.065365434	-5.9959545	-0.073076934	-3.516674e-05	0
22.015625	-0.066372752	-7.6399612	-0.075094998	-0.00019997358	0
22.515625	-0.06673336	-5.9179578	-0.076540858	-0.00018954277	0
23.015625	-0.069260597	-9.0856047	-0.07850796	-6.1988831e-05	0
23.515625	-0.069904327	-6.6651387	-0.080127269	6.6161156e-05	0
24.015625	-0.072684884	-7.478663	-0.081762373	8.6724758e-05	0
24.515625	-0.073966384	-7.2420063	-0.083667487	2.3841858e-06	0
25.015625	-0.073871017	-8.0892487	-0.085283071	-0.00010758638	0
25.515625	-0.076454878	-5.7168331	-0.087193102	-0.00021219254	0
26.015625	-0.077357888	-5.7151251	-0.088690817	-0.00014364719	0
26.515625	-0.078633428	-3.6978617	-0.090260208	-3.6656857e-05	0
27.015625	-0.080505013	-7.1516137	-0.09215951	0.00012248755	0
27.515625	-0.083869696	-5.4700742	-0.093913823	5.9008598e-05	0
28.015625	-0.08431077	-6.6266642	-0.095353425	-9.6857548e-05	0
28.515625	-0.085794926	-4.7905178	-0.097144842	-0.00027269125	0
29.015625	-0.08688271	-6.4109268	-0.099221766	-0.00016838312	0
29.515625	-0.089624524	-5.4519162	-0.10070354	-7.8082085e-05	0
30.015625	-0.090253353	-4.9275923	-0.10234073	4.1127205e-05	0
30.515625	-0.092509389	-7.7362618	-0.10416225	7.1823597e-05	0
31.015625	-0.094053149	-7.1035395	-0.10604814	-2.0563602e-05	0
31.515625	-0.093960762	-6.3647943	-0.10768294	-0.00030994415	1
32.015625	-0.095507503	-6.5486913	-0.10935068	-0.00029712915	0
32.515625	-0.098130107	-5.3379898	-0.11101305	-0.0001552701	0
33.015625	-0.098899007	-5.7222562	-0.11257917	0.00013023615	0
33.515625	-0.10068417	-7.2013731	-0.11456504	3.3974648e-05	0
34.015625	-0.10217428	-6.4248843	-0.1163882	-5.7220459e-05	0
34.515625	-0.10372996	-8.0785961	-0.1177673	-2.6524067e-05	0
35.015625	-0.10392964	-5.8879247	-0.11953756	-0.00012367964	0
35.515625	-0.10642111	-7.3402662	-0.12165487	-8.6426735e-05	0
36.015625	-0.10782778	-7.3563356	-0.12305856	-0.00010281801	0
36.515625	-0.1078248	-8.2255974	-0.12492925	-9.3877316e-05	0
37.015625	-0.11109412	-7.7656517	-0.12641132	-0.0001552701	0
37.515625	-0.11043251	-6.7375779	-0.12887254	-0.00020712614	0
38.015625	-0.11373162	-9.9098692	-0.13036415	-9.2387199e-06	0
38.515625	-0.11536777	-7.9389896	-0.1322116	-0.00013768673	0
39.015625	-0.11608303	-6.5579748	-0.1337333	-0.00016063452	0
39.515625	-0.11903644	-6.6694441	-0.13556704	-0.00018239021	0
40.015625	-0.12031198	-7.0724592	-0.13716415	-5.2452087e-05	0
40.515625	-0.12221038	-5.6781602	-0.13870791	-5.9008598e-05	0
41.015625	-0.12251139	-6.3322749	-0.14059097	-0.00017017126	0
41.515625	-0.12460649	-7.395267	-0.14238134	-0.00017732382	0
42.015625	-0.12616217	-7.4014091	-0.14446691	-0.00026077032	1
42.515625	-0.12821257	-8.241293	-0.14584452	-0.00018149614	0
