MTS793|MPT|FRA|1|2|.|.|:|33|1|1|A

Acquisition de données						Temps :	592.77344	Sec	05.06.2013 14:56:52
Temps	Axial Déplacement	Axial Force	Axial fléche	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
0.51464844	0.0011116266	16.561466	-0.0065734982	0.0043532252	0
1.0146484	-1.4901161e-06	16.075996	-0.0065225363	0.0043129921	0
1.5146484	8.3446503e-05	13.899693	-0.0066053867	0.0043809414	0
2.0146484	-0.0013187528	14.504814	-0.0067162514	0.0043284893	0
2.5146484	-0.0024273992	14.099821	-0.0087797642	0.0044059753	0
3.0146484	-0.0076144934	14.37755	-0.013664663	0.0043067336	0
3.5146484	-0.0098913908	14.901214	-0.016353726	0.0042927265	0
4.0146484	-0.011725724	12.450434	-0.017860532	0.0043797493	0
4.5146484	-0.012658536	15.380155	-0.019235611	0.0043714046	0
5.0146484	-0.014439225	12.156249	-0.020765662	0.0043010712	0
5.5146484	-0.015893579	16.764515	-0.022635162	0.0043967366	0
6.0146484	-0.017221272	14.07916	-0.024012029	0.0044608116	0
6.5146484	-0.019623339	12.435364	-0.025834739	0.0043451786	0
7.0146484	-0.020362437	14.278833	-0.027267039	0.004349947	0
7.5146484	-0.022402406	13.803871	-0.028893054	0.0044935942	0
8.0146484	-0.02399683	13.148867	-0.030456483	0.004401207	0
8.5146484	-0.025191903	14.148499	-0.031860173	0.0042721629	0
9.0146484	-0.028549135	14.268737	-0.033780336	0.0044083595	0
9.5146484	-0.028178096	11.717795	-0.035533011	0.0043836236	0
10.014648	-0.029602647	12.673553	-0.037021041	0.0043708086	1
10.514648	-0.031575561	14.79154	-0.038418472	0.0043037534	1
11.014648	-0.033788383	15.704108	-0.039845407	0.0043219328	0
11.514648	-0.035063922	16.754593	-0.041305721	0.0042194128	0
12.014648	-0.035153329	12.503421	-0.04275769	0.0043901801	0
12.514648	-0.037942827	14.150148	-0.04435122	0.0043970346	0
13.014648	-0.038972497	11.48142	-0.046074092	0.0042045116	0
13.514648	-0.040528178	11.650112	-0.047596991	0.0044131279	0
14.014648	-0.041377544	13.965467	-0.049342811	0.0043922663	0
14.514648	-0.042617321	12.946548	-0.050951838	0.0042617321	0
15.014648	-0.045505166	12.196795	-0.052416921	0.0042384863	0
15.514648	-0.046430528	12.96638	-0.054106116	0.0044089556	0
16.014648	-0.046874583	11.711787	-0.055471659	0.0044247508	0
16.514648	-0.049419701	15.012448	-0.057010651	0.0042444468	0
17.014648	-0.051447749	13.715964	-0.058342814	0.004350543	0
17.514648	-0.052578747	12.408894	-0.060044825	0.0045138597	0
18.014648	-0.053462386	10.497828	-0.061551034	0.0044208765	0
18.514648	-0.055396557	10.752069	-0.063018799	0.0043725967	0
19.014648	-0.056916475	11.696754	-0.064502358	0.0044575334	0
19.514648	-0.057409704	10.508568	-0.065961182	0.0044345856	0
20.014648	-0.059384108	11.153634	-0.067559481	0.0043597817	0
20.514648	-0.061243773	13.000479	-0.069098473	0.004401505	0
21.014648	-0.061006844	13.715169	-0.069759488	0.0043973327	1
21.514648	-0.062906742	12.886424	-0.07131964	0.0043988228	0
22.014648	-0.065022707	11.017822	-0.073070228	0.0044372678	0
22.514648	-0.06698221	13.394808	-0.074957013	0.00441432	0
23.014648	-0.068037212	11.754643	-0.076798499	0.004376173	0
23.514648	-0.070117414	14.421857	-0.078480542	0.0042825937	0
24.014648	-0.071530044	11.187797	-0.080130398	0.004478395	0
24.514648	-0.073590875	15.30902	-0.081810355	0.0044327974	0
25.014648	-0.07571727	13.134827	-0.083601177	0.0043293834	0
25.514648	-0.077167153	14.289557	-0.085103512	0.0042945147	0
26.014648	-0.077928603	13.498133	-0.08667618	0.004401207	0
26.514648	-0.078590214	12.582751	-0.088178515	0.0044664741	0
27.014648	-0.079761446	17.100004	-0.089906156	0.0042629242	0
27.514648	-0.083576143	13.622806	-0.091582537	0.0043585896	0
28.014648	-0.084008276	12.020701	-0.093548298	0.0044226646	0
28.514648	-0.086663663	14.281607	-0.096131861	0.0043812394	0
29.014648	-0.089226663	14.362499	-0.097414255	0.0042968988	0
29.514648	-0.089129806	13.95399	-0.098540187	0.0043189526	0
30.014648	-0.091677904	13.777769	-0.10010511	0.0044134259	0
30.514648	-0.091941655	14.14245	-0.10177881	0.0043547153	0
31.014648	-0.093339384	10.43861	-0.10338336	0.0042539835	0
31.514648	-0.094485283	11.108917	-0.10430217	0.0042760372	1
32.014648	-0.09624511	13.774423	-0.10583878	0.0042644143	0
32.514648	-0.09867996	12.933574	-0.10722488	0.0043344498	0
33.014648	-0.097639859	12.829961	-0.1085341	0.0043845177	0
33.514648	-0.10050982	14.084442	-0.11017829	0.004222393	0
34.014648	-0.10142773	13.276487	-0.11148155	0.0043436885	0
34.514648	-0.1034677	11.071513	-0.11322647	0.0044104457	0
35.014648	-0.10421574	12.594767	-0.11471301	0.0043538213	0
35.514648	-0.1058653	16.325592	-0.11615932	0.0042074919	0
36.014648	-0.10860115	14.978543	-0.11777788	0.0043460727	0
36.514648	-0.10985732	12.564821	-0.11930466	0.004324615	0
37.014648	-0.11021197	15.155706	-0.12070447	0.0043219328	0
